"","Rodzaj kopuly","liczba wystapien"
"1","BB8",1
"2","Clayton",1
"3","Frank",10
"4","Gaussian",7
"5","Independence",21
"6","Joe",3
"7","Rotated Clayton 270 degrees",6
"8","Rotated Joe 90 degrees",4
"9","Rotated Tawn type 1 180 degrees",6
"10","Rotated Tawn type 1 90 degrees",15
"11","Rotated Tawn type 2 180 degrees",1
"12","Rotated Tawn type 2 270 degrees",2
"13","Rotated Tawn type 2 90 degrees",1
"14","Survival BB7",4
"15","Survival BB8",1
"16","Survival Clayton",6
"17","Survival Gumbel",1
"18","Survival Joe",1
"19","t",1
"20","Tawn  type 1",5
"21","Tawn  type 2",6
